section_id	start_ch	end_ch	slug	heading
1	7	28	on-fantasies	On Fantasies
2	29	46	rough-and-ready	Rough and Ready
3	47	55	to-be-worshiped	To Be Worshipped
4	56	72	off-limits	Off Limits
5	73	78	the-captive	The Captive
6	79	93	kink	Kink
7	94	104	strangers	Strangers
8	105	126	power-and-submission	Power and Submission
9	127	137	exploration	Exploration
10	138	153	more-more-more	More, More, More
11	154	166	the-watchers-and-the-watched	The Watchers and the Watched
12	167	177	i-have-always-had-a-thing-for	I Always Have A Thing For...
13	178	202	gently-gently	Gently, Gently
